,Precision@5,Recall@5,NDCG@5,Hit_Rate@5,Precision@10,Recall@10,NDCG@10,Hit_Rate@10,Precision@20,Recall@20,NDCG@20,Hit_Rate@20,Precision@50,Recall@50,NDCG@50,Hit_Rate@50,MRR,Coverage
UserKNN,0.004919786096256684,0.003564850182497241,0.005217008485954796,0.02406417112299465,0.005828877005347583,0.008865758424581947,0.007357512055554286,0.05454545454545454,0.007032085561497351,0.020742509124862078,0.012924554532547209,0.1304812834224599,0.00910160427807475,0.06440645955351869,0.02928946023908318,0.35454545454545455,0.028149111065543266,0.843144424131627
ItemKNN,0.0021390374331550807,0.0018960614548849844,0.002032364951356112,0.0106951871657754,0.002513368983957219,0.004321152703505646,0.0031509511521146095,0.025133689839572194,0.0026203208556149693,0.010076181987946688,0.005412942391327261,0.04919786096256684,0.003411764705882332,0.0314048043459809,0.012466907657726204,0.1497326203208556,0.010515973681717734,0.9869165487977369
SVD,0.06267379679144434,0.040625583566760264,0.06601952680606685,0.26737967914438504,0.053957219251336584,0.07064553093964893,0.0684082013746274,0.4101604278074866,0.04521390374331497,0.11706816059757279,0.09169531414888663,0.5609625668449197,0.03297326203208586,0.2135656990068754,0.12922263224861294,0.7406417112299465,0.17584873715822708,0.49527186761229314
NeuMF,0.06203208556149782,0.040568712333418404,0.06641672203160466,0.26149732620320854,0.05422459893048098,0.07083736524913033,0.06930700238105521,0.4016042780748663,0.047139037433154445,0.1243351583057469,0.0955356335404067,0.5732620320855615,0.03495187165775432,0.22884241575418002,0.13615524506041224,0.7764705882352941,0.17995939130883598,0.9149855907780979
