,Precision@5,Recall@5,NDCG@5,Hit_Rate@5,Precision@10,Recall@10,NDCG@10,Hit_Rate@10,Precision@20,Recall@20,NDCG@20,Hit_Rate@20,Precision@50,Recall@50,NDCG@50,Hit_Rate@50,MRR,Coverage
UserKNN,0.004705882352941177,0.0034460147695441813,0.0048905900390802445,0.022994652406417113,0.005775401069518706,0.008800398947457766,0.007148323522677287,0.05401069518716577,0.007005347593582912,0.020690518631695114,0.012726923539532264,0.12994652406417112,0.0091229946524063,0.06446672608437344,0.02914081330371974,0.35614973262032085,0.02729180864775236,0.8438756855575869
ItemKNN,0.0022459893048128346,0.0019457176810117988,0.002257502840288272,0.011229946524064172,0.0026203208556149723,0.0046063576945929875,0.0034306313967486196,0.026203208556149733,0.0026470588235294077,0.010284143960614544,0.005658002767566419,0.05026737967914439,0.003283422459893029,0.030527756557168398,0.012336652620640945,0.14331550802139037,0.011036262423381623,0.9847949080622348
SVD,0.06267379679144434,0.040625583566760264,0.06601952680606685,0.26737967914438504,0.053957219251336584,0.07064553093964893,0.0684082013746274,0.4101604278074866,0.04521390374331497,0.11706816059757279,0.09169531414888663,0.5609625668449197,0.03297326203208586,0.2135656990068754,0.12922263224861294,0.7406417112299465,0.17584873715822708,0.49527186761229314
NeuMF,0.05850267379679186,0.03878023936847478,0.06325608288913204,0.24385026737967913,0.05304812834224573,0.06958322723028643,0.06774641979273609,0.3855614973262032,0.044171122994651896,0.11526016467192975,0.09052041654849179,0.5433155080213904,0.03380748663101632,0.22158687717511208,0.13159072391571705,0.7572192513368984,0.1702027992331078,0.9459362692445399
