,Recall@5,NDCG@5,Hit_Rate@5,Recall@10,NDCG@10,Hit_Rate@10,MRR,Coverage
UserKNN,0.006217850776674299,0.008556981843032278,0.046524064171122995,0.016642687377981476,0.013098659826869984,0.11336898395721925,0.026771920889567993,0.4584823202224871
ItemKNN,0.0024393090569561154,0.0034718263587761064,0.017112299465240642,0.005948349036584326,0.004799274594228029,0.040641711229946524,0.010673329938035818,0.9520915266356811
SVD,0.056708046855105956,0.09763466017273988,0.35294117647058826,0.09334245819539974,0.09556901443753224,0.49732620320855614,0.2254910449028095,0.1925440393281442
NeuMF,0.04977612257024047,0.08263234955608094,0.31122994652406416,0.08514642220524606,0.08447624764493805,0.4625668449197861,0.19256238859180003,0.5640110978993262
MultVAE,0.04423117731941285,0.07206836216505216,0.2823529411764706,0.07681924284865496,0.07391619180501187,0.41818181818181815,0.16470376029199554,0.01236603462489695
